"zone_id","n_frames","time_seconds","percentage","metric_type","subject_id","n_entries","mean_duration","total_time","latency_seconds","first_entry_frame"
"centre",2088,69.6,22.0975764631178,"occupancy","ID7697_20251021",NA,NA,NA,NA,NA
"closed_bottom",3191,106.366666666667,33.7707693935866,"occupancy","ID7697_20251021",NA,NA,NA,NA,NA
"closed_top",3504,116.8,37.0832892369563,"occupancy","ID7697_20251021",NA,NA,NA,NA,NA
"open_left",628,20.9333333333333,6.64620594771934,"occupancy","ID7697_20251021",NA,NA,NA,NA,NA
"open_right",667,22.2333333333333,7.0589480368293,"occupancy","ID7697_20251021",NA,NA,NA,NA,NA
"centre",NA,NA,NA,"entries","ID7697_20251021",34,1.92352941176471,65.4,NA,NA
"closed_bottom",NA,NA,NA,"entries","ID7697_20251021",9,11.3518518518519,102.166666666667,NA,NA
"closed_top",NA,NA,NA,"entries","ID7697_20251021",14,8.04285714285714,112.6,NA,NA
"open_left",NA,NA,NA,"entries","ID7697_20251021",6,2.78888888888889,16.7333333333333,NA,NA
"open_right",NA,NA,NA,"entries","ID7697_20251021",6,3.00555555555556,18.0333333333333,NA,NA
"centre",NA,NA,NA,"latency","ID7697_20251021",NA,NA,NA,4.46666666666667,134
"closed_bottom",NA,NA,NA,"latency","ID7697_20251021",NA,NA,NA,20.8666666666667,626
"closed_top",NA,NA,NA,"latency","ID7697_20251021",NA,NA,NA,10.7333333333333,322
"open_left",NA,NA,NA,"latency","ID7697_20251021",NA,NA,NA,5.76666666666667,173
"open_right",NA,NA,NA,"latency","ID7697_20251021",NA,NA,NA,4.16666666666667,125
