"zone_id","n_frames","time_seconds","percentage","metric_type","subject_id","n_entries","mean_duration","total_time","latency_seconds","first_entry_frame"
"centre",1496,49.8666666666667,16.255568836249,"occupancy","ID7701_20251021",NA,NA,NA,NA,NA
"closed_bottom",1971,65.7,21.4169292621971,"occupancy","ID7701_20251021",NA,NA,NA,NA,NA
"closed_top",5257,175.233333333333,57.1226773878083,"occupancy","ID7701_20251021",NA,NA,NA,NA,NA
"open_left",652,21.7333333333333,7.08464631098555,"occupancy","ID7701_20251021",NA,NA,NA,NA,NA
"open_right",471,15.7,5.1178963381506,"occupancy","ID7701_20251021",NA,NA,NA,NA,NA
"centre",NA,NA,NA,"entries","ID7701_20251021",27,1.68765432098765,45.5666666666667,NA,NA
"closed_bottom",NA,NA,NA,"entries","ID7701_20251021",6,10.2333333333333,61.4,NA,NA
"closed_top",NA,NA,NA,"entries","ID7701_20251021",11,15.5393939393939,170.933333333333,NA,NA
"open_left",NA,NA,NA,"entries","ID7701_20251021",4,4.35833333333333,17.4333333333333,NA,NA
"open_right",NA,NA,NA,"entries","ID7701_20251021",7,1.62857142857143,11.4,NA,NA
"centre",NA,NA,NA,"latency","ID7701_20251021",NA,NA,NA,4.53333333333333,136
"closed_bottom",NA,NA,NA,"latency","ID7701_20251021",NA,NA,NA,104.666666666667,3140
"closed_top",NA,NA,NA,"latency","ID7701_20251021",NA,NA,NA,6.9,207
"open_left",NA,NA,NA,"latency","ID7701_20251021",NA,NA,NA,21.9,657
"open_right",NA,NA,NA,"latency","ID7701_20251021",NA,NA,NA,4.3,129
