"zone_id","n_frames","time_seconds","percentage","metric_type","subject_id","n_entries","mean_duration","total_time","latency_seconds","first_entry_frame"
"centre",2210,73.6666666666667,23.7277217092549,"occupancy","ID7694_20250930",NA,NA,NA,NA,NA
"closed_bottom",2059,68.6333333333333,22.1065063345501,"occupancy","ID7694_20250930",NA,NA,NA,NA,NA
"closed_top",5214,173.8,55.9802447927851,"occupancy","ID7694_20250930",NA,NA,NA,NA,NA
"open_left",540,18,5.79772385656002,"occupancy","ID7694_20250930",NA,NA,NA,NA,NA
"open_right",595,19.8333333333333,6.38823276787631,"occupancy","ID7694_20250930",NA,NA,NA,NA,NA
"centre",NA,NA,NA,"entries","ID7694_20250930",35,1.85619047619048,64.9666666666667,NA,NA
"closed_bottom",NA,NA,NA,"entries","ID7694_20250930",8,7.49166666666667,59.9333333333333,NA,NA
"closed_top",NA,NA,NA,"entries","ID7694_20250930",19,8.68947368421053,165.1,NA,NA
"open_left",NA,NA,NA,"entries","ID7694_20250930",4,2.325,9.3,NA,NA
"open_right",NA,NA,NA,"entries","ID7694_20250930",3,3.71111111111111,11.1333333333333,NA,NA
"centre",NA,NA,NA,"latency","ID7694_20250930",NA,NA,NA,8.7,261
"closed_bottom",NA,NA,NA,"latency","ID7694_20250930",NA,NA,NA,171.766666666667,5153
"closed_top",NA,NA,NA,"latency","ID7694_20250930",NA,NA,NA,10.7666666666667,323
"open_left",NA,NA,NA,"latency","ID7694_20250930",NA,NA,NA,30.6333333333333,919
"open_right",NA,NA,NA,"latency","ID7694_20250930",NA,NA,NA,35.3666666666667,1061
