"zone_id","n_frames","time_seconds","percentage","metric_type","subject_id","n_entries","mean_duration","total_time","latency_seconds","first_entry_frame"
"centre",595,19.8333333333333,6.38754696725711,"occupancy","ID7691_20251021",NA,NA,NA,NA,NA
"closed_bottom",2023,67.4333333333333,21.7176596886742,"occupancy","ID7691_20251021",NA,NA,NA,NA,NA
"closed_top",6899,229.966666666667,74.0633387010199,"occupancy","ID7691_20251021",NA,NA,NA,NA,NA
"open_left",278,9.26666666666667,2.98443370907139,"occupancy","ID7691_20251021",NA,NA,NA,NA,NA
"open_right",144,4.8,1.54589371980676,"occupancy","ID7691_20251021",NA,NA,NA,NA,NA
"centre",NA,NA,NA,"entries","ID7691_20251021",11,1.42424242424242,15.6666666666667,NA,NA
"closed_bottom",NA,NA,NA,"entries","ID7691_20251021",4,15.8166666666667,63.2666666666667,NA,NA
"closed_top",NA,NA,NA,"entries","ID7691_20251021",4,56.45,225.8,NA,NA
"open_left",NA,NA,NA,"entries","ID7691_20251021",1,5.1,5.1,NA,NA
"open_right",NA,NA,NA,"entries","ID7691_20251021",2,0.316666666666667,0.633333333333333,NA,NA
"centre",NA,NA,NA,"latency","ID7691_20251021",NA,NA,NA,4.16666666666667,125
"closed_bottom",NA,NA,NA,"latency","ID7691_20251021",NA,NA,NA,21.9666666666667,659
"closed_top",NA,NA,NA,"latency","ID7691_20251021",NA,NA,NA,6,180
"open_left",NA,NA,NA,"latency","ID7691_20251021",NA,NA,NA,110.066666666667,3302
"open_right",NA,NA,NA,"latency","ID7691_20251021",NA,NA,NA,4.86666666666667,146
