"zone_id","n_frames","time_seconds","percentage","metric_type","subject_id","n_entries","mean_duration","total_time","latency_seconds","first_entry_frame"
"centre",1988,66.2666666666667,20.2402769293423,"occupancy","ID7690_20250930",NA,NA,NA,NA,NA
"closed_bottom",2567,85.5666666666667,26.1352066788841,"occupancy","ID7690_20250930",NA,NA,NA,NA,NA
"closed_top",4075,135.833333333333,41.4884952148239,"occupancy","ID7690_20250930",NA,NA,NA,NA,NA
"open_left",1109,36.9666666666667,11.2909794339238,"occupancy","ID7690_20250930",NA,NA,NA,NA,NA
"open_right",1262,42.0666666666667,12.8487069843209,"occupancy","ID7690_20250930",NA,NA,NA,NA,NA
"centre",NA,NA,NA,"entries","ID7690_20250930",35,1.66857142857143,58.4,NA,NA
"closed_bottom",NA,NA,NA,"entries","ID7690_20250930",11,7.06363636363636,77.7,NA,NA
"closed_top",NA,NA,NA,"entries","ID7690_20250930",7,18.2809523809524,127.966666666667,NA,NA
"open_left",NA,NA,NA,"entries","ID7690_20250930",10,2.91,29.1,NA,NA
"open_right",NA,NA,NA,"entries","ID7690_20250930",7,4.88571428571429,34.2,NA,NA
"centre",NA,NA,NA,"latency","ID7690_20250930",NA,NA,NA,7.86666666666667,236
"closed_bottom",NA,NA,NA,"latency","ID7690_20250930",NA,NA,NA,8.13333333333333,244
"closed_top",NA,NA,NA,"latency","ID7690_20250930",NA,NA,NA,49.9,1497
"open_left",NA,NA,NA,"latency","ID7690_20250930",NA,NA,NA,17.9666666666667,539
"open_right",NA,NA,NA,"latency","ID7690_20250930",NA,NA,NA,28.0333333333333,841
