"zone_id","n_frames","time_seconds","percentage","metric_type","subject_id","n_entries","mean_duration","total_time","latency_seconds","first_entry_frame"
"centre",1168,38.9333333333333,12.5013379000321,"occupancy","ID7701_20250930",NA,NA,NA,NA,NA
"closed_bottom",1400,46.6666666666667,14.9844803596275,"occupancy","ID7701_20250930",NA,NA,NA,NA,NA
"closed_top",6785,226.166666666667,72.6212137429091,"occupancy","ID7701_20250930",NA,NA,NA,NA,NA
"open_left",602,20.0666666666667,6.44332655463984,"occupancy","ID7701_20250930",NA,NA,NA,NA,NA
"open_right",427,14.2333333333333,4.5702665096864,"occupancy","ID7701_20250930",NA,NA,NA,NA,NA
"centre",NA,NA,NA,"entries","ID7701_20250930",21,1.52380952380952,32,NA,NA
"closed_bottom",NA,NA,NA,"entries","ID7701_20250930",6,6.62222222222222,39.7333333333333,NA,NA
"closed_top",NA,NA,NA,"entries","ID7701_20250930",7,31.3190476190476,219.233333333333,NA,NA
"open_left",NA,NA,NA,"entries","ID7701_20250930",4,3.28333333333333,13.1333333333333,NA,NA
"open_right",NA,NA,NA,"entries","ID7701_20250930",4,1.825,7.3,NA,NA
"centre",NA,NA,NA,"latency","ID7701_20250930",NA,NA,NA,6.93333333333333,208
"closed_bottom",NA,NA,NA,"latency","ID7701_20250930",NA,NA,NA,8,240
"closed_top",NA,NA,NA,"latency","ID7701_20250930",NA,NA,NA,18.2,546
"open_left",NA,NA,NA,"latency","ID7701_20250930",NA,NA,NA,35.1666666666667,1055
"open_right",NA,NA,NA,"latency","ID7701_20250930",NA,NA,NA,33.6333333333333,1009
