"zone_id","n_frames","time_seconds","percentage","metric_type","subject_id","n_entries","mean_duration","total_time","latency_seconds","first_entry_frame"
"centre",1335,44.5,16.0476018752254,"occupancy","ID7696_20250930",NA,NA,NA,NA,NA
"closed_bottom",3497,116.566666666667,42.0363024401971,"occupancy","ID7696_20250930",NA,NA,NA,NA,NA
"closed_top",3667,122.233333333333,44.0798172857315,"occupancy","ID7696_20250930",NA,NA,NA,NA,NA
"open_left",530,17.6666666666667,6.37095804784229,"occupancy","ID7696_20250930",NA,NA,NA,NA,NA
"open_right",539,17.9666666666667,6.47914412789999,"occupancy","ID7696_20250930",NA,NA,NA,NA,NA
"centre",NA,NA,NA,"entries","ID7696_20250930",25,1.44666666666667,36.1666666666667,NA,NA
"closed_bottom",NA,NA,NA,"entries","ID7696_20250930",10,10.8233333333333,108.233333333333,NA,NA
"closed_top",NA,NA,NA,"entries","ID7696_20250930",8,14.2375,113.9,NA,NA
"open_left",NA,NA,NA,"entries","ID7696_20250930",3,3.11111111111111,9.33333333333333,NA,NA
"open_right",NA,NA,NA,"entries","ID7696_20250930",4,2.40833333333333,9.63333333333333,NA,NA
"centre",NA,NA,NA,"latency","ID7696_20250930",NA,NA,NA,8.33333333333333,250
"closed_bottom",NA,NA,NA,"latency","ID7696_20250930",NA,NA,NA,8.63333333333333,259
"closed_top",NA,NA,NA,"latency","ID7696_20250930",NA,NA,NA,42.4666666666667,1274
"open_left",NA,NA,NA,"latency","ID7696_20250930",NA,NA,NA,19.9333333333333,598
"open_right",NA,NA,NA,"latency","ID7696_20250930",NA,NA,NA,35.8,1074
