"zone_id","n_frames","time_seconds","percentage","metric_type","subject_id","n_entries","mean_duration","total_time","latency_seconds","first_entry_frame"
"centre",1714,57.1333333333333,18.5960724747749,"occupancy","ID7692_20250930",NA,NA,NA,NA,NA
"closed_bottom",4791,159.7,51.9800368883585,"occupancy","ID7692_20250930",NA,NA,NA,NA,NA
"closed_top",2464,82.1333333333333,26.7332103721384,"occupancy","ID7692_20250930",NA,NA,NA,NA,NA
"open_left",685,22.8333333333333,7.43191927959206,"occupancy","ID7692_20250930",NA,NA,NA,NA,NA
"open_right",642,21.4,6.96539004014321,"occupancy","ID7692_20250930",NA,NA,NA,NA,NA
"centre",NA,NA,NA,"entries","ID7692_20250930",27,1.84938271604938,49.9333333333333,NA,NA
"closed_bottom",NA,NA,NA,"entries","ID7692_20250930",9,16.9444444444444,152.5,NA,NA
"closed_top",NA,NA,NA,"entries","ID7692_20250930",8,9.36666666666667,74.9333333333333,NA,NA
"open_left",NA,NA,NA,"entries","ID7692_20250930",4,3.90833333333333,15.6333333333333,NA,NA
"open_right",NA,NA,NA,"entries","ID7692_20250930",6,2.36666666666667,14.2,NA,NA
"centre",NA,NA,NA,"latency","ID7692_20250930",NA,NA,NA,7.2,216
"closed_bottom",NA,NA,NA,"latency","ID7692_20250930",NA,NA,NA,7.86666666666667,236
"closed_top",NA,NA,NA,"latency","ID7692_20250930",NA,NA,NA,79.8333333333333,2395
"open_left",NA,NA,NA,"latency","ID7692_20250930",NA,NA,NA,27.1333333333333,814
"open_right",NA,NA,NA,"latency","ID7692_20250930",NA,NA,NA,20.5666666666667,617
