"zone_id","n_frames","time_seconds","percentage","metric_type","subject_id","n_entries","mean_duration","total_time","latency_seconds","first_entry_frame"
"centre",1379,45.9666666666667,15.1073619631902,"occupancy","ID7695_20250930",NA,NA,NA,NA,NA
"closed_bottom",2520,84,27.6073619631902,"occupancy","ID7695_20250930",NA,NA,NA,NA,NA
"closed_top",4714,157.133333333333,51.6432953549518,"occupancy","ID7695_20250930",NA,NA,NA,NA,NA
"open_left",664,22.1333333333333,7.27432077125329,"occupancy","ID7695_20250930",NA,NA,NA,NA,NA
"open_right",785,26.1666666666667,8.59991235758107,"occupancy","ID7695_20250930",NA,NA,NA,NA,NA
"centre",NA,NA,NA,"entries","ID7695_20250930",29,1.37011494252874,39.7333333333333,NA,NA
"closed_bottom",NA,NA,NA,"entries","ID7695_20250930",9,8.64074074074074,77.7666666666667,NA,NA
"closed_top",NA,NA,NA,"entries","ID7695_20250930",9,16.7666666666667,150.9,NA,NA
"open_left",NA,NA,NA,"entries","ID7695_20250930",7,2.27142857142857,15.9,NA,NA
"open_right",NA,NA,NA,"entries","ID7695_20250930",4,4.98333333333333,19.9333333333333,NA,NA
"centre",NA,NA,NA,"latency","ID7695_20250930",NA,NA,NA,6.23333333333333,187
"closed_bottom",NA,NA,NA,"latency","ID7695_20250930",NA,NA,NA,7.36666666666667,221
"closed_top",NA,NA,NA,"latency","ID7695_20250930",NA,NA,NA,17.7,531
"open_left",NA,NA,NA,"latency","ID7695_20250930",NA,NA,NA,31.7333333333333,952
"open_right",NA,NA,NA,"latency","ID7695_20250930",NA,NA,NA,72.7666666666667,2183
