"zone_id","n_frames","time_seconds","percentage","metric_type","subject_id","n_entries","mean_duration","total_time","latency_seconds","first_entry_frame"
"centre",1639,54.6333333333333,17.8190911067623,"occupancy","ID7696_20251021",NA,NA,NA,NA,NA
"closed_bottom",4396,146.533333333333,47.79299847793,"occupancy","ID7696_20251021",NA,NA,NA,NA,NA
"closed_top",3160,105.333333333333,34.3552946292672,"occupancy","ID7696_20251021",NA,NA,NA,NA,NA
"open_left",346,11.5333333333333,3.76168732333116,"occupancy","ID7696_20251021",NA,NA,NA,NA,NA
"open_right",416,13.8666666666667,4.52272233094151,"occupancy","ID7696_20251021",NA,NA,NA,NA,NA
"centre",NA,NA,NA,"entries","ID7696_20251021",36,1.37685185185185,49.5666666666667,NA,NA
"closed_bottom",NA,NA,NA,"entries","ID7696_20251021",20,7.07333333333333,141.466666666667,NA,NA
"closed_top",NA,NA,NA,"entries","ID7696_20251021",10,10.0266666666667,100.266666666667,NA,NA
"open_left",NA,NA,NA,"entries","ID7696_20251021",4,1.61666666666667,6.46666666666667,NA,NA
"open_right",NA,NA,NA,"entries","ID7696_20251021",2,4.4,8.8,NA,NA
"centre",NA,NA,NA,"latency","ID7696_20251021",NA,NA,NA,5.06666666666667,152
"closed_bottom",NA,NA,NA,"latency","ID7696_20251021",NA,NA,NA,5.83333333333333,175
"closed_top",NA,NA,NA,"latency","ID7696_20251021",NA,NA,NA,31.3666666666667,941
"open_left",NA,NA,NA,"latency","ID7696_20251021",NA,NA,NA,106.4,3192
"open_right",NA,NA,NA,"latency","ID7696_20251021",NA,NA,NA,173.1,5193
