"zone_id","n_frames","time_seconds","percentage","metric_type","subject_id","n_entries","mean_duration","total_time","latency_seconds","first_entry_frame"
"centre",1860,62,20.1364079246509,"occupancy","ID7688_20250930",NA,NA,NA,NA,NA
"closed_bottom",1530,51,16.5638194218902,"occupancy","ID7688_20250930",NA,NA,NA,NA,NA
"closed_top",4251,141.7,46.0214355310166,"occupancy","ID7688_20250930",NA,NA,NA,NA,NA
"open_left",1301,43.3666666666667,14.0846595214897,"occupancy","ID7688_20250930",NA,NA,NA,NA,NA
"open_right",1349,44.9666666666667,14.6043087582548,"occupancy","ID7688_20250930",NA,NA,NA,NA,NA
"centre",NA,NA,NA,"entries","ID7688_20250930",36,1.52685185185185,54.9666666666667,NA,NA
"closed_bottom",NA,NA,NA,"entries","ID7688_20250930",2,21.9833333333333,43.9666666666667,NA,NA
"closed_top",NA,NA,NA,"entries","ID7688_20250930",6,22.4444444444444,134.666666666667,NA,NA
"open_left",NA,NA,NA,"entries","ID7688_20250930",11,3.3030303030303,36.3333333333333,NA,NA
"open_right",NA,NA,NA,"entries","ID7688_20250930",16,2.37083333333333,37.9333333333333,NA,NA
"centre",NA,NA,NA,"latency","ID7688_20250930",NA,NA,NA,7.03333333333333,211
"closed_bottom",NA,NA,NA,"latency","ID7688_20250930",NA,NA,NA,35.6,1068
"closed_top",NA,NA,NA,"latency","ID7688_20250930",NA,NA,NA,59.6333333333333,1789
"open_left",NA,NA,NA,"latency","ID7688_20250930",NA,NA,NA,9.4,282
"open_right",NA,NA,NA,"latency","ID7688_20250930",NA,NA,NA,20.8333333333333,625
