"zone_id","n_frames","time_seconds","percentage","metric_type","subject_id","n_entries","mean_duration","total_time","latency_seconds","first_entry_frame"
"centre",1797,59.9,19.4417396949043,"occupancy","ID7702_20251021",NA,NA,NA,NA,NA
"closed_bottom",4543,151.433333333333,49.1507086443795,"occupancy","ID7702_20251021",NA,NA,NA,NA,NA
"closed_top",2441,81.3666666666667,26.4091745104403,"occupancy","ID7702_20251021",NA,NA,NA,NA,NA
"open_left",548,18.2666666666667,5.92881099210213,"occupancy","ID7702_20251021",NA,NA,NA,NA,NA
"open_right",583,19.4333333333333,6.30747592772909,"occupancy","ID7702_20251021",NA,NA,NA,NA,NA
"centre",NA,NA,NA,"entries","ID7702_20251021",28,1.9797619047619,55.4333333333333,NA,NA
"closed_bottom",NA,NA,NA,"entries","ID7702_20251021",9,16.3296296296296,146.966666666667,NA,NA
"closed_top",NA,NA,NA,"entries","ID7702_20251021",8,9.6125,76.9,NA,NA
"open_left",NA,NA,NA,"entries","ID7702_20251021",6,2.3,13.8,NA,NA
"open_right",NA,NA,NA,"entries","ID7702_20251021",5,2.99333333333333,14.9666666666667,NA,NA
"centre",NA,NA,NA,"latency","ID7702_20251021",NA,NA,NA,4.46666666666667,134
"closed_bottom",NA,NA,NA,"latency","ID7702_20251021",NA,NA,NA,5.5,165
"closed_top",NA,NA,NA,"latency","ID7702_20251021",NA,NA,NA,28.8333333333333,865
"open_left",NA,NA,NA,"latency","ID7702_20251021",NA,NA,NA,51.2666666666667,1538
"open_right",NA,NA,NA,"latency","ID7702_20251021",NA,NA,NA,25.6666666666667,770
